Time,BestBid,BestAsk,MidPrice,Spread,Imbalance
12:24:38,91371.4,91364.8,91368.1,-6.57,0.801633
12:24:39,91371.4,91364.8,91368.1,-6.57,0.574463
12:24:40,91371.4,91364.8,91368.1,-6.57,0.574468
12:24:41,91371.4,91364.8,91368.1,-6.57,0.493149
12:24:41,91371.4,91364.8,91368.1,-6.57,0.363526
12:24:43,91371.4,91364.8,91368.1,-6.57,0.28448
12:24:43,91371.4,91364.8,91368.1,-6.57,0.11117
12:24:44,91371.4,91364.8,91368.1,-6.57,0.139652
12:24:45,91371.4,91364.8,91368.1,-6.57,0.136091
12:24:46,91371.4,91364.8,91368.1,-6.57,0.396125
12:24:47,91371.4,91364.8,91368.1,-6.57,0.321838
12:24:47,91371.4,91364.8,91368.1,-6.57,0.0497162
12:24:48,91371.4,91364.8,91368.1,-6.57,0.105911
12:24:49,91371.4,91364.8,91368.1,-6.57,0.105977
12:24:50,91371.4,91364.8,91368.1,-6.57,0.103876
12:24:52,91371.4,91364.8,91368.1,-6.57,0.109071
12:24:53,91371.4,91364.8,91368.1,-6.57,0.0961031
12:24:54,91371.4,91364.8,91368.1,-6.57,0.399714
12:24:55,91371.4,91364.8,91368.1,-6.57,0.605925
12:24:55,91371.4,91364.8,91368.1,-6.57,0.538997
12:24:56,91371.4,91364.8,91368.1,-6.57,0.482099
12:24:57,91371.4,91364.8,91368.1,-6.57,0.239483
12:24:58,91371.4,91364.8,91368.1,-6.57,0.240592
12:25:00,91371.4,91364.8,91368.1,-6.57,0.239913
12:25:01,91371.4,91364.8,91368.1,-6.57,0.159147
12:25:01,91371.4,91364.8,91368.1,-6.57,0.232123
12:25:04,91371.4,91364.8,91368.1,-6.57,0.232722
12:25:05,91371.4,91364.8,91368.1,-6.57,-0.573849
12:25:05,91371.4,91364.8,91368.1,-6.57,-0.740767
12:25:05,91360.4,91364.8,91362.6,4.39,-0.992854
12:25:05,91360,91364.8,91362.4,4.81,-0.86863
12:25:05,91360,91364.8,91362.4,4.81,-0.86863
12:25:05,91360,91360,91360,0.01,-0.929816
12:25:05,91360,91360,91360,0.01,-0.859971
12:25:05,91360,91360,91360,0.01,-0.859971
12:25:05,91357.9,91360,91358.9,2.14,-0.574091
12:25:05,91357.9,91357.9,91357.9,0.01,-0.700381
12:25:06,91357.9,91357.9,91357.9,0.01,-0.699565
12:25:06,91357.4,91357.9,91357.6,0.46,-0.997626
12:25:06,91357.4,91357.9,91357.6,0.46,-0.458614
12:25:06,91357.4,91357.9,91357.6,0.46,-0.458614
12:25:06,91357.4,91351,91354.2,-6.41,-0.354891
12:25:06,91357.4,91351,91354.2,-6.41,-0.47672
12:25:06,91357.4,91351,91354.2,-6.41,-0.978547
12:25:06,91357.4,91351,91354.2,-6.41,-0.960741
12:25:06,91357.4,91351,91354.2,-6.41,-0.960741
12:25:06,91357.4,91351,91354.2,-6.41,-0.960741
12:25:06,91357.4,91351,91354.2,-6.41,-0.960741
