Time,Price,Quantity,Side
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:52,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:53,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91360,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:54,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:55,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:56,91361.9,0.01,BUY
12:23:57,91361.9,0.01,BUY
12:23:57,91361.9,0.01,BUY
