Time,ExchangeTS_ms,LocalTS_ms,ProcessingTS_ms,Ingest_Latency_us,Processing_Latency_us
23:05:41,1769103341351,1769103341351,1769103341371,0,20
23:05:41,1769103341351,1769103341374,1769103341398,23,24
23:05:41,1769103350715,1769103341405,1769103341421,-9310,16
23:05:42,1769103351514,1769103342001,1769103342009,-9513,8
23:05:42,1769103352414,1769103342901,1769103342907,-9513,6
23:05:43,1769103352514,1769103343017,1769103343025,-9497,8
23:05:43,1769103353114,1769103343601,1769103343616,-9513,15
23:05:47,1769103356914,1769103347404,1769103347410,-9510,6
23:05:49,1769103358814,1769103349305,1769103349312,-9509,7
23:05:50,1769103360114,1769103350606,1769103350621,-9508,15
23:05:51,1769103361414,1769103351903,1769103351916,-9511,13
23:05:52,1769103361914,1769103352401,1769103352408,-9513,7
23:05:52,1769103362214,1769103352704,1769103352710,-9510,6
23:05:53,1769103363414,1769103353901,1769103353908,-9513,7
23:05:57,1769103366514,1769103357005,1769103357011,-9509,6
23:05:58,1769103368114,1769103358606,1769103358618,-9508,12
23:06:00,1769103369614,1769103360103,1769103360109,-9511,6
23:06:01,1769103371014,1769103361509,1769103361516,-9505,7
23:06:02,1769103371914,1769103362405,1769103362411,-9509,6
23:06:05,1769103374714,1769103365202,1769103365215,-9512,13
23:06:08,1769103378214,1769103368701,1769103368717,-9513,16
23:06:12,1769103381714,1769103372205,1769103372212,-9509,7
23:06:13,1769103382514,1769103373013,1769103373019,-9501,6
23:06:13,1769103383014,1769103373503,1769103373509,-9511,6
23:06:14,1769103383514,1769103374006,1769103374012,-9508,6
