Time,GrossPnL_USD,NetPnL_USD,Fees_USD
22:13:36,0,0,0
22:13:36,0,0,0
22:13:36,0,0,0
22:13:36,1.45519e-13,1.45519e-13,0
22:13:36,2.91038e-13,2.91038e-13,0
22:13:36,4.36557e-13,4.36557e-13,0
22:13:36,5.82077e-13,5.82077e-13,0
22:13:36,7.27596e-13,7.27596e-13,0
22:13:36,8.73115e-13,8.73115e-13,0
22:13:36,1.16415e-12,1.16415e-12,0
22:13:36,1.45519e-12,1.45519e-12,0
22:13:36,1.74623e-12,1.74623e-12,0
22:13:36,2.03727e-12,2.03727e-12,0
22:13:36,2.32831e-12,2.32831e-12,0
22:13:36,2.47383e-12,2.47383e-12,0
22:13:36,2.61934e-12,2.61934e-12,0
22:13:36,2.76486e-12,2.76486e-12,0
22:13:36,2.76486e-12,2.76486e-12,0
22:13:36,2.61934e-12,2.61934e-12,0
22:13:36,2.47383e-12,2.47383e-12,0
22:13:36,2.32831e-12,2.32831e-12,0
22:13:36,2.03727e-12,2.03727e-12,0
22:13:36,1.74623e-12,1.74623e-12,0
22:13:36,1.45519e-12,1.45519e-12,0
22:13:36,1.01863e-12,1.01863e-12,0
22:13:36,7.27596e-13,7.27596e-13,0
22:13:36,4.36557e-13,4.36557e-13,0
22:13:36,2.52435e-29,2.52435e-29,0
22:13:36,-4.36557e-13,-4.36557e-13,0
22:13:36,-8.73115e-13,-8.73115e-13,0
22:13:36,-1.30967e-12,-1.30967e-12,0
22:13:36,-1.74623e-12,-1.74623e-12,0
22:13:36,-2.18279e-12,-2.18279e-12,0
22:13:36,-2.61934e-12,-2.61934e-12,0
22:13:36,-3.0559e-12,-3.0559e-12,0
22:13:36,-3.49246e-12,-3.49246e-12,0
22:13:36,-3.92902e-12,-3.92902e-12,0
22:13:36,-4.51109e-12,-4.51109e-12,0
22:13:36,-5.23869e-12,-5.23869e-12,0
22:13:36,-6.1118e-12,-6.1118e-12,0
22:13:36,-6.98492e-12,-6.98492e-12,0
22:13:36,-7.85803e-12,-7.85803e-12,0
22:13:36,-8.73115e-12,-8.73115e-12,0
22:13:36,-9.45874e-12,-9.45874e-12,0
22:13:36,-1.01863e-11,-1.01863e-11,0
22:13:36,-1.09139e-11,-1.09139e-11,0
22:13:36,-1.16415e-11,-1.16415e-11,0
22:13:36,-1.23691e-11,-1.23691e-11,0
22:13:36,-1.30967e-11,-1.30967e-11,0
22:13:36,-1.38243e-11,-1.38243e-11,0
22:13:36,-1.45519e-11,-1.45519e-11,0
22:13:36,-1.52795e-11,-1.52795e-11,0
22:13:36,-1.60071e-11,-1.60071e-11,0
22:13:36,-1.67347e-11,-1.67347e-11,0
22:13:36,-1.74623e-11,-1.74623e-11,0
22:13:36,-1.81899e-11,-1.81899e-11,0
22:13:36,-1.89175e-11,-1.89175e-11,0
22:13:36,-1.96451e-11,-1.96451e-11,0
22:13:36,-2.03727e-11,-2.03727e-11,0
