Time,Position_BTC,PnL_USD
22:13:36,0.01,0
22:13:36,0.02,0
22:13:36,0.03,0
22:13:36,0.04,1.45519e-13
22:13:36,0.05,2.91038e-13
22:13:36,0.06,4.36557e-13
22:13:36,0.07,5.82077e-13
22:13:36,0.08,7.27596e-13
22:13:36,0.09,8.73115e-13
22:13:36,0.1,1.16415e-12
22:13:36,0.11,1.45519e-12
22:13:36,0.12,1.74623e-12
22:13:36,0.13,2.03727e-12
22:13:36,0.14,2.32831e-12
22:13:36,0.15,2.47383e-12
22:13:36,0.16,2.61934e-12
22:13:36,0.17,2.76486e-12
22:13:36,0.18,2.76486e-12
22:13:36,0.19,2.61934e-12
22:13:36,0.2,2.47383e-12
22:13:36,0.21,2.32831e-12
22:13:36,0.22,2.03727e-12
22:13:36,0.23,1.74623e-12
22:13:36,0.24,1.45519e-12
22:13:36,0.25,1.01863e-12
22:13:36,0.26,7.27596e-13
22:13:36,0.27,4.36557e-13
22:13:36,0.28,2.52435e-29
22:13:36,0.29,-4.36557e-13
22:13:36,0.3,-8.73115e-13
22:13:36,0.31,-1.30967e-12
22:13:36,0.32,-1.74623e-12
22:13:36,0.33,-2.18279e-12
22:13:36,0.34,-2.61934e-12
22:13:36,0.35,-3.0559e-12
22:13:36,0.36,-3.49246e-12
22:13:36,0.37,-3.92902e-12
22:13:36,0.38,-4.51109e-12
22:13:36,0.39,-5.23869e-12
22:13:36,0.4,-6.1118e-12
22:13:36,0.41,-6.98492e-12
22:13:36,0.42,-7.85803e-12
22:13:36,0.43,-8.73115e-12
22:13:36,0.44,-9.45874e-12
22:13:36,0.45,-1.01863e-11
22:13:36,0.46,-1.09139e-11
22:13:36,0.47,-1.16415e-11
22:13:36,0.48,-1.23691e-11
22:13:36,0.49,-1.30967e-11
22:13:36,0.5,-1.38243e-11
22:13:36,0.51,-1.45519e-11
22:13:36,0.52,-1.52795e-11
22:13:36,0.53,-1.60071e-11
22:13:36,0.54,-1.67347e-11
22:13:36,0.55,-1.74623e-11
22:13:36,0.56,-1.81899e-11
22:13:36,0.57,-1.89175e-11
22:13:36,0.58,-1.96451e-11
22:13:36,0.59,-2.03727e-11
22:13:36,0.6,-2.11003e-11
22:13:36,0.61,-2.18279e-11
22:13:36,0.62,-2.25555e-11
22:13:36,0.63,-2.32831e-11
22:13:36,0.64,-2.40107e-11
22:13:36,0.65,-2.47383e-11
22:13:36,0.66,-2.54659e-11
22:13:36,0.67,-2.61934e-11
