Time,ExchangeTS_ms,LocalTS_ms,ProcessingTS_ms,Ingest_Latency_us,Processing_Latency_us
23:05:41,1769103341351,1769103341351,1769103341434,0,83
23:05:41,1769103341351,1769103341374,1769103341497,23,123
23:05:41,1769103350715,1769103341405,1769103341458,-9310,53
23:05:42,1769103351514,1769103342001,1769103342035,-9513,34
23:05:42,1769103352414,1769103342901,1769103342911,-9513,10
23:05:43,1769103352514,1769103343017,1769103343038,-9497,21
23:05:43,1769103353114,1769103343601,1769103343662,-9513,61
23:05:47,1769103356914,1769103347404,1769103347422,-9510,18
23:05:49,1769103358814,1769103349305,1769103349324,-9509,19
23:05:50,1769103360114,1769103350606,1769103350643,-9508,37
23:05:51,1769103361414,1769103351903,1769103351946,-9511,43
23:05:52,1769103361914,1769103352401,1769103352426,-9513,25
23:05:52,1769103362214,1769103352704,1769103352743,-9510,39
23:05:53,1769103363414,1769103353901,1769103353921,-9513,20
23:05:57,1769103366514,1769103357005,1769103357025,-9509,20
23:05:58,1769103368114,1769103358606,1769103358663,-9508,57
23:06:00,1769103369614,1769103360103,1769103360121,-9511,18
23:06:01,1769103371014,1769103361509,1769103361549,-9505,40
23:06:02,1769103371914,1769103362405,1769103362425,-9509,20
23:06:05,1769103374714,1769103365202,1769103365237,-9512,35
23:06:08,1769103378214,1769103368701,1769103368749,-9513,48
23:06:12,1769103381714,1769103372205,1769103372218,-9509,13
23:06:13,1769103382514,1769103373013,1769103373031,-9501,18
23:06:13,1769103383014,1769103373503,1769103373523,-9511,20
23:06:14,1769103383514,1769103374006,1769103374023,-9508,17
