Time,GrossPnL_USD,NetPnL_USD,Fees_USD
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,0,0,0
23:05:41,-1.45519e-13,-1.45519e-13,0
23:05:41,-4.36557e-13,-4.36557e-13,0
23:05:41,-7.27596e-13,-7.27596e-13,0
23:05:41,-1.01863e-12,-1.01863e-12,0
23:05:41,-1.30967e-12,-1.30967e-12,0
23:05:41,-1.60071e-12,-1.60071e-12,0
23:05:41,-1.89175e-12,-1.89175e-12,0
23:05:41,-2.03727e-12,-2.03727e-12,0
23:05:41,-2.18279e-12,-2.18279e-12,0
23:05:41,-2.32831e-12,-2.32831e-12,0
23:05:41,-2.47383e-12,-2.47383e-12,0
23:05:41,-2.47383e-12,-2.47383e-12,0
23:05:41,-2.47383e-12,-2.47383e-12,0
23:05:41,-2.32831e-12,-2.32831e-12,0
23:05:41,-2.03727e-12,-2.03727e-12,0
23:05:41,-1.74623e-12,-1.74623e-12,0
23:05:41,-1.60071e-12,-1.60071e-12,0
23:05:41,-1.45519e-12,-1.45519e-12,0
23:05:43,0.3476,0.3476,0
23:05:43,0.708569,0.708569,0
23:05:43,1.08398,1.08398,0
23:05:43,1.47503,1.47503,0
23:05:43,1.88308,1.88308,0
23:05:43,2.30968,2.30968,0
23:05:43,2.75659,2.75659,0
23:05:43,3.26695,3.26695,0
23:05:43,3.80417,3.80417,0
23:05:43,4.37124,4.37124,0
23:05:43,4.97166,4.97166,0
23:05:43,5.60961,5.60961,0
23:05:43,6.29009,6.29009,0
23:05:43,7.01918,7.01918,0
23:05:43,7.80435,7.80435,0
23:05:43,8.65495,8.65495,0
23:05:43,9.58288,9.58288,0
23:05:43,10.6036,10.6036,0
23:05:43,11.7377,11.7377,0
23:05:43,13.0136,13.0136,0
23:05:43,14.4718,14.4718,0
23:05:43,16.173,16.173,0
23:05:43,18.2144,18.2144,0
23:05:43,20.7662,20.7662,0
23:05:43,24.1686,24.1686,0
23:05:43,29.2722,29.2722,0
23:05:43,39.4794,39.4794,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:43,-852.199,-852.199,0
23:05:50,-852.126,-852.126,0
23:05:50,-852.062,-852.062,0
23:05:50,-852.003,-852.003,0
23:05:50,-851.951,-851.951,0
23:05:50,-851.902,-851.902,0
23:05:50,-851.857,-851.857,0
23:05:50,-851.816,-851.816,0
23:05:50,-851.777,-851.777,0
23:05:50,-851.741,-851.741,0
23:05:50,-851.706,-851.706,0
23:05:50,-851.674,-851.674,0
23:05:50,-851.644,-851.644,0
23:05:50,-851.614,-851.614,0
23:05:50,-851.587,-851.587,0
23:05:50,-851.56,-851.56,0
23:05:50,-851.535,-851.535,0
23:05:50,-851.511,-851.511,0
23:05:50,-851.488,-851.488,0
23:05:50,-851.465,-851.465,0
23:05:50,-851.444,-851.444,0
23:05:50,-851.423,-851.423,0
23:05:50,-851.403,-851.403,0
23:05:50,-851.383,-851.383,0
23:05:50,-851.365,-851.365,0
23:05:50,-851.346,-851.346,0
23:05:50,-851.329,-851.329,0
23:05:50,-851.312,-851.312,0
23:05:50,-851.295,-851.295,0
23:05:50,-851.279,-851.279,0
23:05:50,-851.263,-851.263,0
23:05:50,-851.248,-851.248,0
23:05:50,-851.233,-851.233,0
23:05:50,-851.219,-851.219,0
23:05:50,-851.204,-851.204,0
23:05:50,-851.19,-851.19,0
23:05:50,-851.177,-851.177,0
