Time,Position_BTC,PnL_USD
23:05:41,0.01,0
23:05:41,0,0
23:05:41,-0.01,0
23:05:41,-0.02,0
23:05:41,-0.03,0
23:05:41,-0.04,0
23:05:41,-0.05,0
23:05:41,-0.06,0
23:05:41,-0.07,0
23:05:41,-0.08,0
23:05:41,-0.09,0
23:05:41,-0.1,-1.45519e-13
23:05:41,-0.11,-4.36557e-13
23:05:41,-0.12,-7.27596e-13
23:05:41,-0.13,-1.01863e-12
23:05:41,-0.14,-1.30967e-12
23:05:41,-0.15,-1.60071e-12
23:05:41,-0.16,-1.89175e-12
23:05:41,-0.17,-2.03727e-12
23:05:41,-0.18,-2.18279e-12
23:05:41,-0.19,-2.32831e-12
23:05:41,-0.2,-2.47383e-12
23:05:41,-0.21,-2.47383e-12
23:05:41,-0.22,-2.47383e-12
23:05:41,-0.23,-2.32831e-12
23:05:41,-0.24,-2.03727e-12
23:05:41,-0.25,-1.74623e-12
23:05:41,-0.26,-1.60071e-12
23:05:41,-0.27,-1.45519e-12
23:05:43,-0.26,0.3476
23:05:43,-0.25,0.708569
23:05:43,-0.24,1.08398
23:05:43,-0.23,1.47503
23:05:43,-0.22,1.88308
23:05:43,-0.21,2.30968
23:05:43,-0.2,2.75659
23:05:43,-0.19,3.26695
23:05:43,-0.18,3.80417
23:05:43,-0.17,4.37124
23:05:43,-0.16,4.97166
23:05:43,-0.15,5.60961
23:05:43,-0.14,6.29009
23:05:43,-0.13,7.01918
23:05:43,-0.12,7.80435
23:05:43,-0.11,8.65495
23:05:43,-0.1,9.58288
23:05:43,-0.09,10.6036
23:05:43,-0.08,11.7377
23:05:43,-0.07,13.0136
23:05:43,-0.06,14.4718
23:05:43,-0.05,16.173
23:05:43,-0.04,18.2144
23:05:43,-0.03,20.7662
23:05:43,-0.02,24.1686
23:05:43,-0.01,29.2722
23:05:43,3.1225e-17,39.4794
23:05:43,0.01,-852.199
23:05:43,0.02,-852.199
23:05:43,0.03,-852.199
23:05:43,0.04,-852.199
23:05:43,0.05,-852.199
23:05:43,0.06,-852.199
23:05:43,0.07,-852.199
23:05:43,0.08,-852.199
23:05:50,0.09,-852.126
23:05:50,0.1,-852.062
23:05:50,0.11,-852.003
23:05:50,0.12,-851.951
23:05:50,0.13,-851.902
23:05:50,0.14,-851.857
23:05:50,0.15,-851.816
23:05:50,0.16,-851.777
23:05:50,0.17,-851.741
23:05:50,0.18,-851.706
23:05:50,0.19,-851.674
23:05:50,0.2,-851.644
23:05:50,0.21,-851.614
23:05:50,0.22,-851.587
23:05:50,0.23,-851.56
23:05:50,0.24,-851.535
23:05:50,0.25,-851.511
23:05:50,0.26,-851.488
23:05:50,0.27,-851.465
23:05:50,0.28,-851.444
23:05:50,0.29,-851.423
23:05:50,0.3,-851.403
23:05:50,0.31,-851.383
23:05:50,0.32,-851.365
