Time,ExchangeTS_ms,LocalTS_ms,ProcessingTS_ms,Ingest_Latency_us,Processing_Latency_us
16:06:16,1767522976261,1767522976261,1767522976271,0,10
16:06:16,1767522976261,1767522976274,1767522976354,13,80
16:06:16,1767522982214,1767522976285,1767522976298,-5929,13
16:06:22,1767522988114,1767522982015,1767522982028,-6099,13
16:06:28,1767522994614,1767522988524,1767522988537,-6090,13
16:06:34,1767523000714,1767522994614,1767522994625,-6100,11
16:06:42,1767523008414,1767523002313,1767523002323,-6101,10
16:06:48,1767523014714,1767523008614,1767523008621,-6100,7
16:06:49,1767523016014,1767523009914,1767523009924,-6100,10
16:06:55,1767523022014,1767523015914,1767523015925,-6100,11
16:07:07,1767523033328,1767523027228,1767523027249,-6100,21
16:07:07,1767523033914,1767523027814,1767523027824,-6100,10
16:07:08,1767523034914,1767523028814,1767523028824,-6100,10
16:07:12,1767523039014,1767523032916,1767523032926,-6098,10
16:07:15,1767523042014,1767523035914,1767523035925,-6100,11
16:07:17,1767523043514,1767523037410,1767523037420,-6104,10
16:07:19,1767523045614,1767523039514,1767523039524,-6100,10
16:07:24,1767523050914,1767523044814,1767523044825,-6100,11
16:07:28,1767523055014,1767523048914,1767523048918,-6100,4
16:07:38,1767523064114,1767523058013,1767523058023,-6101,10
16:07:46,1767523072614,1767523066510,1767523066520,-6104,10
16:07:56,1767523082214,1767523076112,1767523076117,-6102,5
16:08:04,1767523090614,1767523084515,1767523084528,-6099,13
16:08:06,1767523092414,1767523086315,1767523086325,-6099,10
16:08:09,1767523095914,1767523089812,1767523089817,-6102,5
16:08:21,1767523107714,1767523101613,1767523101618,-6101,5
16:08:33,1767523119114,1767523113012,1767523113017,-6102,5
16:08:42,1767523128914,1767523122813,1767523122819,-6101,6
