Time,GrossPnL_USD,NetPnL_USD,Fees_USD
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,0,0,0
16:06:16,-1.45519e-13,-1.45519e-13,0
16:06:16,-1.45519e-13,-1.45519e-13,0
16:06:16,-1.45519e-13,-1.45519e-13,0
16:06:16,0,0,0
16:06:16,1.45519e-13,1.45519e-13,0
16:06:16,2.91038e-13,2.91038e-13,0
16:06:16,4.36557e-13,4.36557e-13,0
16:06:16,5.82077e-13,5.82077e-13,0
16:06:16,5.82077e-13,5.82077e-13,0
16:06:16,5.82077e-13,5.82077e-13,0
16:06:16,5.82077e-13,5.82077e-13,0
16:06:16,4.36557e-13,4.36557e-13,0
16:06:16,2.91038e-13,2.91038e-13,0
16:06:16,1.45519e-13,1.45519e-13,0
16:06:16,-5.04871e-29,-5.04871e-29,0
16:06:16,-2.91038e-13,-2.91038e-13,0
16:06:16,-5.82077e-13,-5.82077e-13,0
16:06:16,-8.73115e-13,-8.73115e-13,0
16:06:16,-1.01863e-12,-1.01863e-12,0
16:06:16,-1.30967e-12,-1.30967e-12,0
16:06:16,-1.60071e-12,-1.60071e-12,0
16:06:16,-1.89175e-12,-1.89175e-12,0
16:06:16,-2.18279e-12,-2.18279e-12,0
16:06:16,-2.47383e-12,-2.47383e-12,0
16:06:16,-2.76486e-12,-2.76486e-12,0
16:06:16,-3.0559e-12,-3.0559e-12,0
16:06:16,-3.34694e-12,-3.34694e-12,0
16:06:16,-3.63798e-12,-3.63798e-12,0
16:06:16,-3.92902e-12,-3.92902e-12,0
16:06:16,-4.36557e-12,-4.36557e-12,0
16:06:16,-4.80213e-12,-4.80213e-12,0
16:06:16,-5.23869e-12,-5.23869e-12,0
16:06:16,-5.82077e-12,-5.82077e-12,0
16:06:16,-6.40284e-12,-6.40284e-12,0
16:06:16,-6.98492e-12,-6.98492e-12,0
16:06:16,-7.567e-12,-7.567e-12,0
16:06:16,-8.14907e-12,-8.14907e-12,0
16:06:16,-8.73115e-12,-8.73115e-12,0
16:06:16,-9.31323e-12,-9.31323e-12,0
16:06:16,-9.8953e-12,-9.8953e-12,0
16:06:16,-1.04774e-11,-1.04774e-11,0
