Time,Position_BTC,PnL_USD
16:06:16,0.01,0
16:06:16,0.02,0
16:06:16,0.03,0
16:06:16,0.04,0
16:06:16,0.05,0
16:06:16,0.06,0
16:06:16,0.07,0
16:06:16,0.08,-1.45519e-13
16:06:16,0.09,-1.45519e-13
16:06:16,0.1,-1.45519e-13
16:06:16,0.11,0
16:06:16,0.12,1.45519e-13
16:06:16,0.13,2.91038e-13
16:06:16,0.14,4.36557e-13
16:06:16,0.15,5.82077e-13
16:06:16,0.16,5.82077e-13
16:06:16,0.17,5.82077e-13
16:06:16,0.18,5.82077e-13
16:06:16,0.19,4.36557e-13
16:06:16,0.2,2.91038e-13
16:06:16,0.21,1.45519e-13
16:06:16,0.22,-5.04871e-29
16:06:16,0.23,-2.91038e-13
16:06:16,0.24,-5.82077e-13
16:06:16,0.25,-8.73115e-13
16:06:16,0.26,-1.01863e-12
16:06:16,0.27,-1.30967e-12
16:06:16,0.28,-1.60071e-12
16:06:16,0.29,-1.89175e-12
16:06:16,0.3,-2.18279e-12
16:06:16,0.31,-2.47383e-12
16:06:16,0.32,-2.76486e-12
16:06:16,0.33,-3.0559e-12
16:06:16,0.34,-3.34694e-12
16:06:16,0.35,-3.63798e-12
16:06:16,0.36,-3.92902e-12
16:06:16,0.37,-4.36557e-12
16:06:16,0.38,-4.80213e-12
16:06:16,0.39,-5.23869e-12
16:06:16,0.4,-5.82077e-12
16:06:16,0.41,-6.40284e-12
16:06:16,0.42,-6.98492e-12
16:06:16,0.43,-7.567e-12
16:06:16,0.44,-8.14907e-12
16:06:16,0.45,-8.73115e-12
16:06:16,0.46,-9.31323e-12
16:06:16,0.47,-9.8953e-12
16:06:16,0.48,-1.04774e-11
16:06:16,0.49,-1.10595e-11
16:06:16,0.5,-1.16415e-11
16:06:16,0.51,-1.22236e-11
16:06:16,0.52,-1.28057e-11
16:06:16,0.53,-1.33878e-11
16:06:16,0.54,-1.39698e-11
16:06:16,0.55,-1.45519e-11
16:06:16,0.56,-1.5134e-11
16:06:16,0.57,-1.57161e-11
16:06:16,0.58,-1.62981e-11
16:06:16,0.59,-1.68802e-11
16:06:16,0.6,-1.74623e-11
16:06:16,0.61,-1.80444e-11
16:06:16,0.62,-1.86265e-11
16:06:16,0.63,-1.92085e-11
16:06:16,0.64,-1.97906e-11
16:06:16,0.65,-2.03727e-11
16:06:16,0.66,-2.09548e-11
16:06:16,0.67,-2.15368e-11
16:06:16,0.68,-2.21189e-11
16:06:16,0.69,-2.2701e-11
16:06:16,0.7,-2.32831e-11
16:06:16,0.71,-2.38651e-11
16:06:16,0.72,-2.44472e-11
16:06:16,0.73,-2.50293e-11
16:06:16,0.74,-2.57569e-11
16:06:16,0.75,-2.6339e-11
16:06:16,0.76,-2.6921e-11
16:06:16,0.77,-2.75031e-11
16:06:16,0.78,-2.79397e-11
16:06:16,0.79,-2.83762e-11
16:06:16,0.8,-2.88128e-11
16:06:16,0.81,-2.92493e-11
16:06:16,0.82,-2.98314e-11
16:06:16,0.83,-3.04135e-11
16:06:16,0.84,-3.09956e-11
16:06:16,0.85,-3.15777e-11
16:06:16,0.86,-3.21597e-11
16:06:16,0.87,-3.28873e-11
16:06:16,0.88,-3.36149e-11
16:06:16,0.89,-3.43425e-11
16:06:16,0.9,-3.50701e-11
16:06:16,0.91,-3.57977e-11
16:06:16,0.92,-3.65253e-11
16:06:16,0.93,-3.72529e-11
16:06:16,0.94,-3.79805e-11
16:06:16,0.95,-3.87081e-11
16:06:16,0.96,-3.94357e-11
16:06:16,0.97,-4.01633e-11
16:06:16,0.98,-4.08909e-11
16:06:16,0.99,-4.16185e-11
16:06:16,1,-4.23461e-11
16:06:16,1.01,-4.30737e-11
16:06:16,1.02,-4.38013e-11
16:06:16,1.03,-4.45289e-11
16:06:16,1.04,-4.52565e-11
16:06:16,1.05,-4.59841e-11
16:06:16,1.06,-4.67116e-11
16:06:16,1.07,-4.74392e-11
16:06:16,1.08,-4.81668e-11
16:06:16,1.09,-4.88944e-11
16:06:16,1.1,-4.9622e-11
16:06:17,1.11,-5.03496e-11
16:06:17,1.12,-5.10772e-11
16:06:17,1.13,-5.18048e-11
16:06:17,1.14,-5.25324e-11
16:06:18,1.15,-5.326e-11
16:06:18,1.16,-5.39876e-11
16:06:18,1.17,-5.47152e-11
16:06:18,1.18,-5.54428e-11
16:06:18,1.19,-5.61704e-11
16:06:18,1.2,-5.6898e-11
16:06:18,1.21,-5.76256e-11
16:06:18,1.22,-5.83532e-11
16:06:18,1.23,-5.90808e-11
16:06:18,1.24,-5.98084e-11
16:06:18,1.25,-6.0536e-11
16:06:18,1.26,-6.12636e-11
16:06:18,1.27,-6.19912e-11
16:06:18,1.28,-6.27188e-11
16:06:19,1.29,-6.34464e-11
16:06:19,1.3,-6.41739e-11
16:06:19,1.31,-6.49015e-11
16:06:19,1.32,-6.56291e-11
16:06:19,1.33,-6.63567e-11
16:06:19,1.34,-6.70843e-11
16:06:19,1.35,-6.78119e-11
16:06:19,1.36,-6.85395e-11
16:06:21,1.35,-6.78119e-11
16:06:21,1.34,-6.70843e-11
16:06:21,1.33,-6.63567e-11
16:06:21,1.32,-6.56291e-11
16:06:21,1.31,-6.49015e-11
16:06:21,1.3,-6.41739e-11
16:06:21,1.29,-6.34464e-11
16:06:21,1.28,-6.27188e-11
16:06:21,1.27,-6.19912e-11
16:06:21,1.26,-6.12636e-11
16:06:21,1.25,-6.0536e-11
16:06:21,1.24,-5.98084e-11
16:06:21,1.23,-5.90808e-11
16:06:21,1.22,-5.83532e-11
16:06:22,1.21,-5.76256e-11
16:06:22,1.2,-5.6898e-11
16:06:22,1.19,-5.61704e-11
16:06:22,1.18,-5.54428e-11
