Time,BestBid_USD,BestAsk_USD,MidPrice_USD,Spread_USD,Imbalance
16:07:06,91508.1,91508.1,91508.1,0.01,-0.958087
16:07:07,91508.1,91508.1,91508.1,0.01,-0.999456
16:07:07,91507.6,91508.1,91507.8,0.45,-0.999746
16:07:07,91507.6,91507.6,91507.6,0.01,-0.999855
16:07:07,91500,91507.6,91503.8,7.63,-0.971893
16:07:07,91500,91507.6,91503.8,7.63,-0.971893
16:07:07,91500,91500,91500,0.01,-0.879659
16:07:07,91500,91500,91500,0.01,-0.879659
16:07:07,91500,91500,91500,0.01,-0.88603
16:07:07,91500,91500,91500,0.01,-0.893342
16:07:07,91500,91500,91500,0.01,-0.896447
16:07:07,91500,91500,91500,0.01,-0.999655
16:07:07,91495.4,91500,91497.7,4.59,-0.999796
16:07:07,91495.4,91495.7,91495.6,0.34,-0.999661
16:07:08,91491.2,91495.7,91493.5,4.5,-0.818883
16:07:08,91491.2,91495.7,91493.5,4.5,-0.818883
16:07:08,91491.2,91491.2,91491.2,0.01,-0.77337
16:07:08,91491.2,91491.2,91491.2,0.01,-0.77337
16:07:08,91491.2,91491.2,91491.2,0.01,-0.764159
16:07:08,91491.2,91491.2,91491.2,0.01,-0.763924
16:07:08,91491.2,91491.2,91491.2,0.01,-0.808724
16:07:08,91491.2,91491.2,91491.2,0.01,-0.809483
16:07:09,91491.2,91491.2,91491.2,0.01,-0.829812
16:07:09,91491.2,91491.2,91491.2,0.01,-0.826935
16:07:10,91491.2,91491.2,91491.2,0.01,-0.803677
16:07:11,91491.2,91491.2,91491.2,0.01,-0.828124
16:07:11,91491.2,91491.2,91491.2,0.01,-0.835772
16:07:12,91491.2,91491.2,91491.2,0.01,-0.999655
16:07:12,91491.2,91491.2,91491.2,0.01,-0.9996
16:07:12,91491.2,91491.2,91491.2,0.01,-0.999595
16:07:12,91488.9,91491.2,91490.1,2.4,-0.9989
16:07:12,91488.9,91491.2,91490.1,2.4,-0.9989
16:07:12,91488.9,91488.9,91488.9,0.01,-0.999406
16:07:13,91486.6,91488.9,91487.7,2.3,-0.969596
16:07:13,91486.6,91486.6,91486.6,0.01,-0.941498
16:07:13,91486.6,91486.6,91486.6,0.01,-0.939234
16:07:13,91486.6,91486.6,91486.6,0.01,-0.937671
16:07:14,91486.6,91486.6,91486.6,0.01,-0.927556
16:07:15,91486.6,91486.6,91486.6,0.01,-0.927721
16:07:15,91486.6,91486.6,91486.6,0.01,-0.996817
16:07:15,91486.6,91486.6,91486.6,0.01,-0.996838
16:07:15,91486.6,91486.6,91486.6,0.01,-0.996969
16:07:16,91480.5,91486.6,91483.6,6.03,-0.999664
16:07:16,91480,91486.6,91483.3,6.57,-0.909098
16:07:16,91480,91480,91480,0.01,-0.859925
16:07:16,91480,91480,91480,0.01,-0.859925
16:07:16,91480,91480,91480,0.01,-0.845873
16:07:16,91480,91480,91480,0.01,-0.843216
16:07:16,91480,91480,91480,0.01,-0.828198
16:07:17,91480,91480,91480,0.01,-0.834156
16:07:17,91480,91480,91480,0.01,-0.996821
16:07:17,91478.3,91480,91479.2,1.69,-0.999217
16:07:17,91478.3,91478.3,91478.3,0.01,-0.99975
16:07:17,91478.3,91478.3,91478.3,0.01,-0.99975
16:07:17,91478.3,91478.3,91478.3,0.01,-0.999739
16:07:17,91478.3,91478.3,91478.3,0.01,-0.999527
16:07:17,91478.3,91478.3,91478.3,0.01,-0.999545
16:07:18,91478.3,91478.3,91478.3,0.01,-0.999633
16:07:18,91478.3,91478.3,91478.3,0.01,-0.964782
16:07:18,91478.3,91478.3,91478.3,0.01,-0.964789
16:07:19,91478.3,91478.3,91478.3,0.01,-0.966675
16:07:19,91478.3,91478.3,91478.3,0.01,-0.674382
16:07:19,91478.3,91478.3,91478.3,0.01,-0.602924
16:07:20,91478.3,91478.3,91478.3,0.01,-0.637956
16:07:20,91478.3,91478.3,91478.3,0.01,-0.508544
16:07:21,91478.3,91478.3,91478.3,0.01,-0.538965
16:07:21,91478.3,91478.3,91478.3,0.01,-0.602891
16:07:22,91478.3,91478.3,91478.3,0.01,-0.603667
16:07:23,91478.3,91478.3,91478.3,0.01,-0.607989
16:07:23,91478.3,91478.3,91478.3,0.01,-0.589467
16:07:24,91478.3,91478.3,91478.3,0.01,-0.45176
16:07:24,91478.3,91478.3,91478.3,0.01,-0.348563
16:07:24,91478.3,91478.3,91478.3,0.01,-0.00608304
16:07:25,91478.3,91478.3,91478.3,0.01,0.104129
16:07:25,91478.3,91478.3,91478.3,0.01,0.111413
16:07:25,91478.3,91478.3,91478.3,0.01,0.3748
16:07:25,91478.3,91478.3,91478.3,0.01,0.3748
16:07:25,91478.3,91478.3,91478.3,0.01,0.376533
16:07:26,91478.3,91478.3,91478.3,0.01,0.278242
16:07:27,91478.3,91478.3,91478.3,0.01,0.371752
16:07:28,91478.3,91478.3,91478.3,0.01,0.349482
16:07:28,91478.3,91478.3,91478.3,0.01,0.280458
16:07:29,91478.3,91478.3,91478.3,0.01,0.422218
16:07:30,91478.3,91478.3,91478.3,0.01,0.42087
16:07:31,91478.3,91478.3,91478.3,0.01,0.326296
16:07:31,91478.3,91478.3,91478.3,0.01,0.328045
16:07:32,91478.3,91478.3,91478.3,0.01,-0.0458738
16:07:34,91478.3,91478.3,91478.3,0.01,-0.0347021
